DATE,USALOLITONOSTSAM
1976-02-29,100.608632431388
1976-03-31,100.813246084508
1976-04-30,100.935821800936
1976-05-31,100.988451179861
1976-06-30,100.995367543869
1976-07-31,100.977829530844
1976-08-31,100.950585621529
1976-09-30,100.939353866804
1976-10-31,100.965389997469
1976-11-30,101.050143107882
1976-12-31,101.187893763379
1977-01-31,101.35151808991
1977-02-28,101.519666043179
1977-03-31,101.667685667847
1977-04-30,101.766448050784
1977-05-31,101.809534103255
1977-06-30,101.797386355057
1977-07-31,101.740693233914
1977-08-31,101.658594093342
1977-09-30,101.575575002836
1977-10-31,101.506026674722
1977-11-30,101.451101815826
1977-12-31,101.416087469137
1978-01-31,101.411403689994
1978-02-28,101.446525016127
1978-03-31,101.551066676697
1978-04-30,101.698960021022
1978-05-31,101.84849149162
1978-06-30,101.961344917739
