DATE,DGS10
2014-11,0.5125614597086872
2014-12,0.6165823958719745
2015-01,0.4517828694488373
2015-02,0.45009460815680913
2015-03,0.5602732452942547
2015-04,0.5244455387214493
2015-05,0.5445576949354076
2015-06,0.6718732281891879
2015-07,0.6578833355536307
2015-08,0.5686805821334078
2015-09,0.5705244637928106
2015-10,0.537656818110944
2015-11,0.529903628962386
2015-12,0.6289666375071261
2016-01,0.480114324000956
2016-02,0.42299677536723945
2016-03,0.5094118442090876
2016-04,0.45603153798705076
2016-05,0.4563199266064295
2016-06,0.4315351728902439
2016-07,0.34790912088692916
2016-08,0.4265250722633953
2016-09,0.4044348293572311
2016-10,0.4188123271812967
2016-11,0.5278025312373229
2016-12,0.6767891804781081
2017-01,0.6171646498213124
2017-02,0.5747977128090089
2017-03,0.7573838177659171
