Date,SPY,LQD,IEF
2010-03,6.087941293098664,0.6519200837893591,-1.056863147255671
2010-04,1.54707765480806,1.9078566384036932,1.6527734344188305
2010-05,-7.945485567577015,-1.308320239791383,2.9331783915474974
2010-06,-5.174071907483291,3.2785131152079705,3.048248401259346
2010-07,6.83004157989362,2.110772952837725,0.9096782497954203
2010-08,-4.498075555629766,2.8552635817561622,3.3559834100868713
2010-09,8.955488235170472,0.45662144235230073,-0.0029961143769519083
2010-10,3.8202180039836886,-0.2627021578098576,-0.007083740929547666
2010-11,0.0,-1.6153236186667974,-0.8981311688226579
2010-12,6.685228499356688,-0.7520285578057506,-3.431043434713732
2011-01,2.3300149302316164,0.0368475565191817,-0.021222360260286788
2011-02,3.473734640625281,1.0799846046137596,-0.2084733248716275
2011-03,0.011990016618601551,-0.5404792476902398,-0.15458256887209698
